////////// SLAVE TESTBENCH ///////////////////
//////////////////////////////////////////////
/////////////// MODE 0 //////////////////////
CLK	MOSI	MISO	OUT_SHIFT_STATE	    OUT_MAIN
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	00000000		00000000
0	1	0	10000000		00000000
1	1	0	10000000		00000000
0	1	0	11000000		00000000
1	1	0	11000000		00000000
0	1	0	11100000		00000000
1	1	0	11100000		00000000
0	1	0	11110000		00000000
1	1	0	11110000		00000000
0	1	0	11111000		00000000
1	1	0	11111000		00000000
0	1	0	11111100		00000000
1	1	0	11111100		00000000
0	1	0	11111110		00000000
1	1	0	11111110		00000000
0	1	1	11111111		00000000
//////////////////////////////////////////////
/////////////// MODE 1 //////////////////////
CLK	MOSI	MISO	OUT_SHIFT_STATE	    OUT_MAIN
1	0	1	11111111		00000000
0	0	1	11111111		00000000
1	0	1	01111111		00000000
0	0	1	01111111		00000000
1	0	1	00111111		00000000
0	0	1	00111111		00000000
1	0	1	00011111		00000000
0	0	1	00011111		00000000
1	0	1	00001111		00000000
0	0	1	00001111		00000000
1	0	1	00000111		00000000
0	0	1	00000111		00000000
1	0	1	00000011		00000000
0	0	1	00000011		00000000
1	0	1	00000001		00000000
0	0	1	00000001		00000000
1	0	0	00000000		00000000
0	0	0	00000000		00000000
//////////////////////////////////////////////
/////////////// MODE 2 //////////////////////
CLK	MOSI	MISO	OUT_SHIFT_STATE	    OUT_MAIN
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	10000000		00000000
0	1	0	10000000		00000000
1	1	0	11000000		00000000
0	1	0	11000000		00000000
1	1	0	11100000		00000000
0	1	0	11100000		00000000
1	1	0	11110000		00000000
0	1	0	11110000		00000000
1	1	0	11111000		00000000
0	1	0	11111000		00000000
1	1	0	11111100		00000000
0	1	0	11111100		00000000
1	1	0	11111110		00000000
0	1	0	11111110		00000000
1	1	1	11111111		00000000
0	1	1	11111111		00000000
//////////////////////////////////////////////
/////////////// MODE 3 //////////////////////
CLK	MOSI	MISO	OUT_SHIFT_STATE	    OUT_MAIN
1	0	1	11111111		00000000
0	0	1	01111111		00000000
1	0	1	01111111		00000000
0	0	1	00111111		00000000
1	0	1	00111111		00000000
0	0	1	00011111		00000000
1	0	1	00011111		00000000
0	0	1	00001111		00000000
1	0	1	00001111		00000000
0	0	1	00000111		00000000
1	0	1	00000111		00000000
0	0	1	00000011		00000000
1	0	1	00000011		00000000
0	0	1	00000001		00000000
1	0	1	00000001		00000000
0	0	0	00000000		00000000
1	0	0	00000000		00000000
0	0	0	00000000		00000000
//////////////////////////////////////////////
/////////////// SLAVE IS DEACTIVATED //////////////////////
CLK	MOSI	MISO	OUT_SHIFT_STATE	    OUT_MAIN
0	1	0	00000000		00000000
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	00000000		00000000
0	1	0	00000000		00000000
1	1	0	00000000		00000000
//////////////////////////////////////////////
/////////////// END SIMULATION //////////////////////
